salesrepname,customername,countryname,pgcombine,values_type,actual_2019_jan,actual_2019_feb,actual_2019_mar,actual_2019_apr,actual_2019_may,actual_2019_jun,actual_2019_jul,actual_2019_aug,actual_2019_sep,actual_2019_oct,actual_2019_nov,actual_2019_dec,actual_2020_jan,actual_2020_feb,actual_2020_mar,actual_2020_apr,actual_2020_may,actual_2020_jun,actual_2020_jul,actual_2020_aug,actual_2020_sep,actual_2020_oct,actual_2020_nov,actual_2020_dec,actual_2021_jan,actual_2021_feb,actual_2021_mar,actual_2021_apr,actual_2021_may,actual_2021_jun,actual_2021_jul,actual_2021_aug,actual_2021_sep,actual_2021_oct,actual_2021_nov,actual_2021_dec,actual_2022_jan,actual_2022_feb,actual_2022_mar,actual_2022_apr,actual_2022_may,actual_2022_jun,actual_2022_jul,actual_2022_aug,actual_2022_sep,actual_2022_oct,actual_2022_nov,actual_2022_dec,actual_2023_jan,actual_2023_feb,actual_2023_mar,actual_2023_apr,actual_2023_may,actual_2023_jun,actual_2023_jul,actual_2023_aug,actual_2023_sep,actual_2023_oct,actual_2023_nov,actual_2023_dec,actual_2024_jan,actual_2024_feb,actual_2024_mar,actual_2024_apr,actual_2024_may,actual_2024_jun,actual_2024_jul,actual_2024_aug,actual_2024_sep,actual_2024_oct,actual_2024_nov,actual_2024_dec,actual_2025_jan,actual_2025_feb,actual_2025_mar,actual_2025_apr,actual_2025_may,actual_2025_jun,actual_2025_jul,actual_2025_aug,actual_2025_sep,actual_2025_oct,actual_2025_nov,actual_2025_dec,budget_2025_jan,budget_2025_feb,budget_2025_mar,budget_2025_apr,budget_2025_may,budget_2025_jun,budget_2025_jul,budget_2025_aug,budget_2025_sep,budget_2025_oct,budget_2025_nov,budget_2025_dec
Abraham Mathew,AFRICA FUTURE COMERCIO GERAL ERUA MARTIN LUTHER KING CASA#2,ANGOLA,Mono Layer Printed,KGS,0,21580,22259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,AFRICA FUTURE COMERCIO GERAL ERUA MARTIN LUTHER KING CASA#2,ANGOLA,Mono Layer Printed,Amount,0,229801,237032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,AFRICA FUTURE COMERCIO GERAL ERUA MARTIN LUTHER KING CASA#2,ANGOLA,Mono Layer Printed,MoRM,0,60249,64492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,ALPINA PURE DRINKING WATER LLCNEW IND AREA,UNITED ARAB EMIRATES,Shrink Film Plain,KGS,40,3500,11500,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,ALPINA PURE DRINKING WATER LLCNEW IND AREA,UNITED ARAB EMIRATES,Shrink Film Plain,Amount,0,20650,67850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,ALPINA PURE DRINKING WATER LLCNEW IND AREA,UNITED ARAB EMIRATES,Shrink Film Plain,MoRM,-253,4866,15748,0,0,0,0,0,0,0,0,0,0,0,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,ALPINA PURE DRINKING WATER LLCNEW IND AREA,UNITED ARAB EMIRATES,Shrink Film Printed,KGS,0,0,0,0,0,0,0,0,-3603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,ALPINA PURE DRINKING WATER LLCNEW IND AREA,UNITED ARAB EMIRATES,Shrink Film Printed,Amount,0,0,0,0,0,0,0,0,-27023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,ALPINA PURE DRINKING WATER LLCNEW IND AREA,UNITED ARAB EMIRATES,Shrink Film Printed,MoRM,0,0,0,0,0,0,0,0,-1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Mathew,Elite Agro LLCAbudhabi,UNITED ARAB EMIRATES,Industrial Items Plain,KGS,0,0,0,0,0,8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
